1,8
1,10
1,15
1,22
1,3
2,13
2,38
2,19
2,20
3,31
3,42
3,46
3,49
3,17
3,24
3,27
3,29
4,14
4,25
5,28
5,44
5,24
5,26
5,42
5,18
6,36
6,47
6,20
6,27
6,42
7,32
7,35
7,14
8,16
8,29
9,45
9,17
10,18
10,47
11,49
11,40
12,6
12,28
13,29
13,39
14,2
15,30
16,37
17,11
18,42
18,6
19,17
20,28
21,29
21,42
21,1
22,29
22,32
22,35
22,37
23,41
23,47
24,6
25,17
26,19
27,42
28,43
29,9
30,25
30,28
31,35
32,37
33,39
34,47
35,47
3,35
37,21
38,36
39,37
40,10
41,14
41,25
41,50
42,7
42,36
43,46
43,28
43,5
43,8
44,17
45,31
46,39
47,40
48,46
48,39
48,31
48,31
48,32
48,36
48,37
48,34
48,9
48,18
48,47
49,48
49,2
49,40
49,21
49,44
49,11
49,12
50,16
50,23
50,30
50,33
50,43
